u_r,u_theta,ro_i,agent_position_x[1],agent_position_x[2],agent_position_x[3],agent_position_x[4],agent_position_x[5],agent_position_x[6]
-0.10535068851784897,0.010328146903898315,4.935414325670644,4.9933057791212185,2.473037591946016,-2.124859066511212,-4.502596385255307,-2.3849165059800823,2.471126805457581
-0.10131351050192587,0.004946867510610941,4.911493675968283,4.9933057791212185,2.4719559030056386,-2.124859066511212,-4.502596385255307,-2.3849165059800823,2.471126805457581
-0.09793782910765607,0.004261441268891093,4.813941379922942,4.9933057791212185,2.4719559030056386,-2.1240460094427815,-4.502596385255307,-2.3849165059800823,2.471126805457581
-0.09506920800623438,-0.008466279887948668,4.5726579999237895,4.9933057791212185,2.4719559030056386,-2.1240460094427815,-4.500710412871437,-2.3849165059800823,2.471126805457581
-0.09820137995030762,0.014694135375383615,4.806505947318782,4.9933057791212185,2.4719559030056386,-2.1240460094427815,-4.500710412871437,-2.383664446185002,2.471126805457581
-0.10117472961268217,0.015214578305100354,4.910893125687624,4.9933057791212185,2.4719559030056386,-2.1240460094427815,-4.500710412871437,-2.383664446185002,2.470398409883802
-0.12501704769594998,0.012280658379692173,4.921308398820697,4.990805381475321,2.4719559030056386,-2.1240460094427815,-4.500710412871437,-2.383664446185002,2.470398409883802
-0.12086359985214748,0.006866017002079127,4.9037217435922305,4.990805381475321,2.470653101861132,-2.1240460094427815,-4.500710412871437,-2.383664446185002,2.470398409883802
-0.11705137791821842,0.006181558521797744,4.817581509074773,4.990805381475321,2.470653101861132,-2.1230889162291526,-4.500710412871437,-2.383664446185002,2.470398409883802
-0.11304357726095181,-0.010211298575994489,4.582718796290227,4.990805381475321,2.470653101861132,-2.1230889162291526,-4.498467971747849,-2.383664446185002,2.470398409883802
-0.11730832655112335,0.016569295603221866,4.810519667462205,4.990805381475321,2.470653101861132,-2.1230889162291526,-4.498467971747849,-2.382181825202459,2.470398409883802
-0.12069404270973039,0.01720323944053684,4.902850793580824,4.990805381475321,2.470653101861132,-2.1230889162291526,-4.498467971747849,-2.382181825202459,2.469517662111036
-0.14461088062567787,0.014227185900236097,4.906809583788647,4.987913072996568,2.470653101861132,-2.1230889162291526,-4.498467971747849,-2.382181825202459,2.469517662111036
-0.140373042218894,-0.01876031884817625,4.895607116729332,4.987913072996568,2.4696120360718754,-2.1230889162291526,-4.498467971747849,-2.382181825202459,2.469517662111036
-0.13618145742099974,0.007831934941170692,4.8208884141724155,4.987913072996568,2.4696120360718754,-2.1219812514118965,-4.498467971747849,-2.382181825202459,2.469517662111036
-0.13106641328836635,-0.0119627857152399,4.592418037361852,4.987913072996568,2.4696120360718754,-2.1219812514118965,-4.495868069373581,-2.382181825202459,2.469517662111036
-0.1364335364648831,0.018446049442051034,4.814148075080171,4.987913072996568,2.4696120360718754,-2.1219812514118965,-4.495868069373581,-2.3804671528382984,2.469517662111036
-0.14017090976848282,0.019188491332564894,4.894414418954889,4.987913072996568,2.4696120360718754,-2.1219812514118965,-4.495868069373581,-2.3804671528382984,2.468486385613379
-0.1641302308262187,0.015890990777360104,4.891919408703901,4.984630334247727,2.4696120360718754,-2.1219812514118965,-4.495868069373581,-2.3804671528382984,2.468486385613379
-0.15983953089298325,-0.020212196897994,4.88714972539474,4.984630334247727,2.4684127643178986,-2.1219812514118965,-4.495868069373581,-2.3804671528382984,2.468486385613379
-0.15532638205009983,0.009726469539223747,4.823861643727635,4.984630334247727,2.4684127643178986,-2.1207256405670805,-4.495868069373581,-2.3804671528382984,2.468486385613379
-0.14913590226416307,-0.013715602504156179,4.601754711765923,4.984630334247727,2.4684127643178986,-2.1207256405670805,-4.492909740428191,-2.3804671528382984,2.468486385613379
-0.15557508059884148,0.020324297406860443,4.817390711841476,4.984630334247727,2.4684127643178986,-2.1207256405670805,-4.492909740428191,-2.3785189694038507,2.468486385613379
-0.15960336409207387,0.021167412506522515,4.885584800493965,4.984630334247727,2.4684127643178986,-2.1207256405670805,-4.492909740428191,-2.3785189694038507,2.4673063640993647
-0.18357314886677656,0.01779580818171689,4.8766394414883525,4.980958679833872,2.4684127643178986,-2.1207256405670805,-4.492909740428191,-2.3785189694038507,2.4673063640993647
-0.17926305521085487,-0.022137737166796918,4.878350563214506,4.980958679833872,2.4670654884362815,-2.1207256405670805,-4.492909740428191,-2.3785189694038507,2.4673063640993647
-0.17448451034117016,0.011612773045742854,4.82650079100968,4.980958679833872,2.4670654884362815,-2.119320228834227,-4.492909740428191,-2.3785189694038507,2.4673063640993647
-0.16725022543086387,-0.01547211320282701,4.610727845321579,4.980958679833872,2.4670654884362815,-2.119320228834227,-4.489592056811064,-2.3785189694038507,2.4673063640993647
-0.17473102775438,0.022203827963231323,4.820247159853602,4.980958679833872,2.4670654884362815,-2.119320228834227,-4.489592056811064,-2.3763358476854597,2.4673063640993647
-0.17898944322601873,0.02314513279147768,4.876362777960438,4.980958679833872,2.4670654884362815,-2.119320228834227,-4.489592056811064,-2.3763358476854597,2.465979482128696
-0.2029376953925192,0.019684327250211877,4.8609712912007605,4.976899662988583,2.4670654884362815,-2.119320228834227,-4.489592056811064,-2.3763358476854597,2.465979482128696
-0.19864086992012261,-0.02405012342926257,4.869210614995674,4.976899662988583,2.4655719287208693,-2.119320228834227,-4.489592056811064,-2.3763358476854597,2.465979482128696
-0.19365415922815493,0.013500525965088803,4.828805481603035,4.976899662988583,2.4655719287208693,-2.117763348103701,-4.489592056811064,-2.3763358476854597,2.465979482128696
